{'priority': '0', 'block_id': 1, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 0.0, 'send_delay': 0.0, 'latency': 1.2234000000000012, 'finish_timestamp': 0.01920000000000002, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 2, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 1.0, 'send_delay': 0.0, 'latency': 1.524900000000009, 'finish_timestamp': 1.0311, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 3, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 2.0, 'send_delay': 0.0, 'latency': 2.017500000000012, 'finish_timestamp': 2.0322999999999998, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '0', 'block_id': 4, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 3.0, 'send_delay': 0.0, 'latency': 1.3692000000000109, 'finish_timestamp': 3.0114, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 5, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 4.0, 'send_delay': 0.0, 'latency': 1.4753999999999685, 'finish_timestamp': 4.0126, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 6, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 5.0, 'send_delay': 0.0, 'latency': 1.1490714285714039, 'finish_timestamp': 5.009642857142857, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '0', 'block_id': 7, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 6.0, 'send_delay': 0.0, 'latency': 1.2120714285714014, 'finish_timestamp': 6.010285714285714, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 8, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 7.0, 'send_delay': 0.0, 'latency': 1.2718571428571175, 'finish_timestamp': 7.010714285714285, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 9, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 8.0, 'send_delay': 0.0, 'latency': 1.323642857142921, 'finish_timestamp': 8.011357142857143, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '0', 'block_id': 10, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 9.0, 'send_delay': 0.0, 'latency': 1.3733571428572051, 'finish_timestamp': 9.011785714285715, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 11, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 10.0, 'send_delay': 0.0, 'latency': 2.3995000000000473, 'finish_timestamp': 10.02175, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 12, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 11.0, 'send_delay': 0.0, 'latency': 2.473750000000047, 'finish_timestamp': 11.0225, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '0', 'block_id': 13, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 12.0, 'send_delay': 0.0, 'latency': 2.539250000000047, 'finish_timestamp': 12.02325, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 14, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 13.0, 'send_delay': 0.0, 'latency': 2.601750000000047, 'finish_timestamp': 13.024000000000001, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '0', 'block_id': 16, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 15.0, 'send_delay': 0.0, 'latency': 1.656625000000044, 'finish_timestamp': 15.013875, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 15, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 14.0, 'send_delay': 0.0, 'latency': 2.505750000000041, 'finish_timestamp': 14.040249999999999, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 17, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 16.0, 'send_delay': 0.0, 'latency': 1.7946249999998853, 'finish_timestamp': 16.015375, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 18, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 17.0, 'send_delay': 0.0, 'latency': 1.9181249999998882, 'finish_timestamp': 17.016499999999997, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '0', 'block_id': 19, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 18.0, 'send_delay': 0.0, 'latency': 2.027249999999894, 'finish_timestamp': 18.017625, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 20, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 19.0, 'send_delay': 0.0, 'latency': 2.1262499999998963, 'finish_timestamp': 19.018749999999997, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 21, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 20.0, 'send_delay': 0.0, 'latency': 2.220374999999898, 'finish_timestamp': 20.019499999999997, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '0', 'block_id': 22, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 21.0, 'send_delay': 0.0, 'latency': 2.3027499999999015, 'finish_timestamp': 21.020625, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 23, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 22.0, 'send_delay': 0.0, 'latency': 2.3829999999999045, 'finish_timestamp': 22.021375, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 24, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 23.0, 'send_delay': 0.0, 'latency': 2.452999999999905, 'finish_timestamp': 23.022125, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '0', 'block_id': 25, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 24.0, 'send_delay': 0.0, 'latency': 2.522999999999909, 'finish_timestamp': 24.023249999999997, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 26, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 25.0, 'send_delay': 0.0, 'latency': 2.58937499999991, 'finish_timestamp': 25.023999999999997, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '0', 'block_id': 28, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 27.0, 'send_delay': 0.0, 'latency': 1.6566249999998823, 'finish_timestamp': 27.013875, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 27, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 26.0, 'send_delay': 0.0, 'latency': 2.493374999999909, 'finish_timestamp': 26.04025, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '1', 'block_id': 29, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 28.0, 'send_delay': 0.0, 'latency': 1.7946249999998853, 'finish_timestamp': 28.015375, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
{'priority': '2', 'block_id': 30, 'size': 200000.0, 'deadline': 0.2, 'timestamp': 29.0, 'send_delay': 0.0, 'latency': 1.9181249999998882, 'finish_timestamp': 29.016499999999997, 'miss_ddl': 0, 'split_nums': 136, 'finished_bytes': 200000.0}
