{'Time': 0.0, 'Cwnd': 1, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 1, 'Block_id': 1, 'Create_time': 0.0, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.001, 'Cwnd': 1, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 1, 'Block_id': 1, 'Create_time': 0.0, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.002, 'Cwnd': 1, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 1, 'Block_id': 1, 'Create_time': 0.0, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.002, 'Cwnd': 2, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2, 'Block_id': 1, 'Create_time': 0.0, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.002, 'Cwnd': 2, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 3, 'Block_id': 1, 'Create_time': 0.002, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.003, 'Cwnd': 2, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2, 'Block_id': 1, 'Create_time': 0.0, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.0030773757420685353, 'Cwnd': 2, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010773757420685353, 'Drop': 0, 'Packet_id': 3, 'Block_id': 1, 'Create_time': 0.002, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.004, 'Cwnd': 2, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2, 'Block_id': 1, 'Create_time': 0.0, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.004, 'Cwnd': 2, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 4, 'Block_id': 1, 'Create_time': 0.002, 'Deadline': 0.2, 'Offset': 3, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.004077375742068535, 'Cwnd': 2, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0020773757420685353, 'Drop': 0, 'Packet_id': 3, 'Block_id': 1, 'Create_time': 0.002, 'Deadline': 0.2, 'Offset': 2, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
{'Time': 0.004077375742068535, 'Cwnd': 4, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 5, 'Block_id': 1, 'Create_time': 0.002, 'Deadline': 0.2, 'Offset': 4, 'Payload': 1480, 'Packet_size': 1500, 'Extra': {}}
