{'Time': 30.063000000000443, 'Cwnd': 11, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2557, 'Block_id': 912, 'Create_time': 30.063000000000443, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.063000000000443, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2558, 'Block_id': 912, 'Create_time': 30.063000000000443, 'Deadline': 0.2, 'Offset': 1, 'Payload': 747, 'Packet_size': 1500}
{'Time': 30.064000000000444, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2557, 'Block_id': 912, 'Create_time': 30.063000000000443, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.064035342959567, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 2558, 'Block_id': 912, 'Create_time': 30.063000000000443, 'Deadline': 0.2, 'Offset': 1, 'Payload': 747, 'Packet_size': 1500}
{'Time': 30.065000000000445, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2557, 'Block_id': 912, 'Create_time': 30.063000000000443, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.06503534295957, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 2558, 'Block_id': 912, 'Create_time': 30.063000000000443, 'Deadline': 0.2, 'Offset': 1, 'Payload': 747, 'Packet_size': 1500}
{'Time': 30.096000000000444, 'Cwnd': 11, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2560, 'Block_id': 913, 'Create_time': 30.096000000000444, 'Deadline': 0.2, 'Offset': 1, 'Payload': 76, 'Packet_size': 1500}
{'Time': 30.096000000000444, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2559, 'Block_id': 913, 'Create_time': 30.096000000000444, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.097000000000445, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.001, 'Drop': 0, 'Packet_id': 2560, 'Block_id': 913, 'Create_time': 30.096000000000444, 'Deadline': 0.2, 'Offset': 1, 'Payload': 76, 'Packet_size': 1500}
{'Time': 30.09703534295957, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0010353429591237024, 'Drop': 0, 'Packet_id': 2559, 'Block_id': 913, 'Create_time': 30.096000000000444, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.098000000000447, 'Cwnd': 11, 'Waiting_for_ack_nums': 2, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002, 'Drop': 0, 'Packet_id': 2560, 'Block_id': 913, 'Create_time': 30.096000000000444, 'Deadline': 0.2, 'Offset': 1, 'Payload': 76, 'Packet_size': 1500}
{'Time': 30.09803534295957, 'Cwnd': 11, 'Waiting_for_ack_nums': 1, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.002035342959123702, 'Drop': 0, 'Packet_id': 2559, 'Block_id': 913, 'Create_time': 30.096000000000444, 'Deadline': 0.2, 'Offset': 0, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 30.119999999999738, 'Cwnd': 11, 'Waiting_for_ack_nums': 0, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Pacing_delay': 0.0, 'Lantency': 0.0, 'Drop': 0, 'Packet_id': 2561, 'Block_id': 1817, 'Create_time': 30.119999999999738, 'Deadline': 0.2, 'Offset': 0, 'Payload': 375, 'Packet_size': 1500}
