{'Time': 0.8413319235428435, 'Cwnd': 20, 'Waiting_for_ack_nums': 19, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3885, 'Block_id': 1323, 'Create_time': 0.771666715763653, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8413378081897346, 'Cwnd': 20, 'Waiting_for_ack_nums': 20, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.0010773757420685566, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3878, 'Block_id': 1323, 'Create_time': 0.7704404731843384, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.841409299284912, 'Cwnd': 20, 'Waiting_for_ack_nums': 20, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.002, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3866, 'Block_id': 1323, 'Create_time': 0.768827351894681, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.841409299284912, 'Cwnd': 20, 'Waiting_for_ack_nums': 19, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3886, 'Block_id': 1323, 'Create_time': 0.7717440915057215, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8414151839318031, 'Cwnd': 20, 'Waiting_for_ack_nums': 20, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.001077375742068528, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3879, 'Block_id': 1323, 'Create_time': 0.770517848926407, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8414866750269806, 'Cwnd': 20, 'Waiting_for_ack_nums': 20, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.002, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3867, 'Block_id': 1323, 'Create_time': 0.769666715763653, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8414866750269806, 'Cwnd': 20, 'Waiting_for_ack_nums': 19, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3887, 'Block_id': 1323, 'Create_time': 0.7718214672477901, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8414925596738716, 'Cwnd': 20, 'Waiting_for_ack_nums': 20, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.0010773757420686103, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3880, 'Block_id': 1323, 'Create_time': 0.7705952246684754, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8415640507690492, 'Cwnd': 20, 'Waiting_for_ack_nums': 20, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0, 'Queue_delay': 0.002, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3868, 'Block_id': 1323, 'Create_time': 0.7697440915057215, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8415640507690492, 'Cwnd': 20, 'Waiting_for_ack_nums': 19, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3888, 'Block_id': 1323, 'Create_time': 0.7718988429898587, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.8415699354159402, 'Cwnd': 20, 'Waiting_for_ack_nums': 20, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0, 'Queue_delay': 0.0010773757420685817, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 3881, 'Block_id': 1323, 'Create_time': 0.770672600410544, 'Deadline': 0.2, 'Offset': 1, 'Payload': 1480, 'Packet_size': 1500}
